pageid,chaptername,citation,epigr,frontimage,pagenext,pageprev,partname,parturl,title,layout
predislo,,"Historia [...] vita memoriae, magistra vitae.<br> Cicero. De oratore.<br> II.9:36.<br>Смотри в корень!_<br>  Козьма Прутков. Плоды раздумий.5.",,pastor,01,,,,Предисловие,bn-old
01,I. Критический анализ канонических Евангелий,"“Кто может  вместить,  да вместит”<br> (Отк.14:6).",,1234evan,02,predislo,Введение,vveden,1. Общие положения,bn-old
02,I. Критический анализ канонических Евангелий,“Человек рождается на страдание... чтоб устремляться вверх”<br> (Иов.5:7).,,1evan,03,01,Введение,vveden,2. Евангелие от Матфея,bn-old
03,I. Критический анализ канонических Евангелий,“Не следуй за большинством на зло”<br> (Исх.23:2).,,2evan,04,02,Введение,vveden,3. Евангелие от Марка,bn-old
04,I. Критический анализ канонических Евангелий,"“Итак, смотри: свет, который в тебе, не есть ли тьма?”<br> (Лк.11:35).",,3evan,05,03,Введение,vveden,4. Евангелие от Луки,bn-old
05,I. Критический анализ канонических Евангелий,"“Кто из вас без греха, первый брось на нее камень”<br> (Ин.8:7).",,4evan,06,04,Введение,vveden,5. Евангелие от Иоанна,bn-old
06,II. Иудейство до Первой Иудейской войны,"“Гордость человека унижает его, а смиренный духом приобретает честь”<br> (Прит.29:23).",,poln_var,07,05,Введение,vveden,6. Палестина,bn-old
07,II. Иудейство до Первой Иудейской войны,"“Дней лет наших — семьдесят лет... и самая лучшая пора их — труд и болезнь, ибо проходят быстро, и мы летим”<br> (Пс.89:10).",,poln_var,08,06,Введение,vveden,7. Очерк истории еврейского народа,bn-old
08,II. Иудейство до Первой Иудейской войны,### КУЛЬТ ЯХВЕ,,,08a,07,Введение,vveden,8. Культ Яхве,bn-old
08a,II. Иудейство до Первой Иудейской войны,"“Сердце чистое сотвори во мне, Боже, и дух правый обнови внутри меня”<br> (Пс.50:12).",,menorah,08b,08,Введение,vveden,8. Культ Яхве (начало)  ,bn-old
08b,II. Иудейство до Первой Иудейской войны,“Лица Моего не можно тебе увидеть; потому что человек не может увидеть Меня и остаться в живых”<br> (Исх.33:20).,,synagoge,09,08a,Введение,vveden,8. Культ Яхве (окончание)  ,bn-old
09,II. Иудейство до Первой Иудейской войны,"“Тот Иудей, кто внутренно таков... ему и похвала не от людей, но от Бога”<br> (Рим.2:29).",,poln_var,10,08b,Введение,vveden,9. Иерусалим и Храм,bn-old
10,II. Иудейство до Первой Иудейской войны,"“Не стригите головы вашей кругом, и не порти края бороды твоей”<br> (Лев.19:27).",,aphek,11,09,Введение,vveden,10. Иудейские секты  ,bn-old
11,III. Иисус вне Библии,"“Кто думает, что он стои<em>́</em>т, берегись, чтобы не упасть”<br> (1 Кор.10:12).",,crux01,12,10,По ту сторону Библии,po_tu_st,11. Историчность Иисуса,bn-old
12,III. Иисус вне Библии,“Ворожеи не оставляй в живых”<br> (Исх.22:18).,,poln_var,13,11,По ту сторону Библии,po_tu_st,12. Его имя,bn-old
13,III. Иисус вне Библии,“Они взяли Тело Иисуса и обвили его пеленами”<br> (Ин.19:40).,,turin01,14,12,По ту сторону Библии,po_tu_st,13. Туринская плащаница,bn-old
14,III. Иисус вне Библии,"“Блаженно чрево, носившее Тебя, и сосцы, Тебя питавшие”<br> (Лк.11:27).",,obraz01,15,13,По ту сторону Библии,po_tu_st,14. Его внешний облик,bn-old
15,III. Иисус вне Библии,"“Ближние Его пошли взять Его, ибо говорили, что Он вышел из себя”<br> (Мк.3:21).",,madonna1,16,14,По ту сторону Библии,po_tu_st,15. Его родители,bn-old
16,III. Иисус вне Библии,"“Нет ничего тайного, что не сделалось бы явным”<br> (Лк.8:17).",,1evan1,17,15,По ту сторону Библии,po_tu_st,16. Евангелия в период их становления,bn-old
17,IV. Рождество,“Прежде смерти не называй никого блаженным”<br> (Сир.11:28).,,dali_jes,18,16,История Иисуса до Его общественного служения,ist_do,17. “И Слово стало плотию...”,bn-old
18,IV. Рождество,"“Блажен человек, которого вразумляет Бог, и потому наказания Вседержителева не отвергай”<br> (Иов.5:17).",,poln_var,19,17,История Иисуса до Его общественного служения,ist_do,18. Иисус — Сын Давидов,bn-old
19,IV. Рождество,"“Верую, Господи! помоги моему неверию”<br> (Мк.9:24).",,je_child,20,18,История Иисуса до Его общественного служения,ist_do,19. Иисус — Сын Божий,bn-old
20,IV. Рождество,"“Всякий возвышающий сам себя унижен будет, а унижающий себя возвысится”<br> (Лк.14:11).",,obraz02,21,19,История Иисуса до Его общественного служения,ist_do,20. Иисус — Бог,bn-old
21,IV. Рождество,“Друг не познается в счастье”<br> (Сир.12:8).,,moneta_i,22,20,История Иисуса до Его общественного служения,ist_do,21. Когда и где родился Иисус,bn-old
22,IV. Рождество,"“Не поднимай тяжести свыше твоей силы, и не входи в общение с тем, кто сильнее и богаче тебя”<br> (Сир.13:2).",,poln_var,23,21,История Иисуса до Его общественного служения,ist_do,"22. Пастухи, волхвы и звезда Мессии",bn-old
23,IV. Рождество,"“Не делайте нарезов на теле вашем, и не выстригайте волос над глазами вашими”<br> (Втор.14:1).",,poln_var,24,22,История Иисуса до Его общественного служения,ist_do,"23. Бегство в Египет, сретение и пророчества Симеона и Анны",bn-old
24,V. Начало,"“Кто бросает камень вверх, бросает его на свою голову[...]. Кто роет яму, сам упадет в нее; и кто ставит сеть, сам будет уловлен ею”<br> (Сир.27:28-29).",,poln_var,25,23,История Иисуса до Его общественного служения,ist_do,24. Евангелие Детства,bn-old
25,V. Начало,"“Куропатка садится на яйца, которых не несла; таков приобретающий богатство неправдою: он оставит его на половине дней своих, и глупцом останется при конце своем”<br> (Иер.17:11).",,poln_var,26,24,История Иисуса до Его общественного служения,ist_do,25. Двенадцатилетний Иисус в Храме,bn-old
26,V. Начало,“Даров не принимай; ибо дары слепыми делают зрячих”<br> (Исх.23:8).,,rafael_s,27,25,История Иисуса до Его общественного служения,ist_do,26. Галилея,bn-old
27,V. Начало,"“Когда вы рождаетесь, то рождаетесь на проклятие; и когда умираете, то получаете в удел свой проклятие”<br> (Сир.41:12).",,nazareth,28,26,История Иисуса до Его общественного служения,ist_do,27. Барнаша[<sup>1</sup>](#prim1 Барнаша)<span id=1></span>.1  ,bn-old
28,V. Начало,"“Потому что я не умею льстить: сейчас убей меня, Творец мой”<br> (Иов.32:22).",,kanah,29,27,История Иисуса до Его общественного служения,ist_do,28. Эллинизм. Политика. Кана Галилейская,bn-old
29,V. Начало,"“Сокрушайтесь, плачьте и рыдайте: смех ваш да обратится в плач, и радость — в печаль”<br> (Иак.4:9).",,more_in,30,28,История Иисуса до Его общественного служения,ist_do,29. Иоанн Креститель,bn-old
30,V. Начало,"“Всякий, кто делает дело в день субботний, да будет предан смерти”<br> (Исх.31:15).",,baptism1,31,29,История Иисуса до Его общественного служения,ist_do,30. Крещение,bn-old
31,V. Начало,"“Когда нечестивый проклинает  сатану, то проклинает свою душу”<br> (Сир.21:30).",,poln_var,32,30,История Иисуса до Его общественного служения,ist_do,31. Искушение,bn-old
32,VI. Христос,"“Наг  я вышел из чрева матери моей, наг и возвращусь. Господь дал, Господь и взял”<br> (Иов.1:21).",,ichthys1,33,31,Христос,christ,32. Машиах,bn-old
33,VI. Христос,"“Да умрет душа моя смертию праведников, и да будет кончина моя, как их!”<br> (Чис.23:10).",,ik_rasp,34,32,Христос,christ,33. Религиозное самосознание Иисуса,bn-old
34,VI. Христос,"“Кого любит Господь, того наказывает”<br> (Прит.3:12).",,ik_voskr,35,33,Христос,christ,34. Праэкклесия,bn-old
35,VI. Христос,"“У кого раздавлены ятра или отрезан детородный член, тот не может войти в общество Господне”<br> (Втор.23:1).",,nativity,36,34,Христос,christ,35. Отношение Иисуса к гоям,bn-old
36,VI. Христос,"“Душа согрешающая, она умрет; сын не понесет вины отца и отец не понесет вины сына, правда праведного при нем и останется, и беззаконие беззаконного при нем и остается”<br> (Иез.18:20).",,bthlchmk,37,35,Христос,christ,36. “Ты — Христос”,bn-old
37,VI. Христос,"“Блаженны плачущие, ибо они утешатся”<br> (Мф.5:4).",,g_iskush,38,36,Христос,christ,37. Эсхатология Иисуса,bn-old
38,VI. Христос,“Кто даст мне стражу к устам моим!”<br> (Сир.22:31).,,mostvaya,39,37,Христос,christ,38. Чудотворец,bn-old
39,VI. Христос,"“Итак во всем, как хотите, чтобы с вами поступали люди, так поступайте и вы с ними”<br> (Мф.7:12).",,poln_var,40,38,Христос,christ,39. Amentia Domini,bn-old
40,VI. Христос,"“Оживут мертвецы Твои, восстанут мертвые тела! [...] И земля извергнет мертвецов”<br> (Ис.26:19).",,dom_kapr,41,39,Христос,christ,40. Иду на смерть,bn-old
41,VII. Служение Иисуса,"“Меньше плачь над умершим, потому что он успокоился; а злая жизнь глупого — хуже смерти”<br> (Сир.22:10).",,turin02,42,40,История общественного служения Иисуса,ist_slu,41. Евангельская хронология,bn-old
42,VII. Служение Иисуса,“Против вина не показывай себя храбрым; ибо многих погубило вино”<br> (Сир.31:29).,,poln_var,43,41,История общественного служения Иисуса,ist_slu,42. Служение Иисуса в Галилее,bn-old
43,VII. Служение Иисуса,"“Пойдите, научитесь, что<em>́</em> значит: “милости хочу, а не жертвы”? ибо Я пришел призвать не праведников, но грешников к покаянию”<br> (Мф.9:13).",,je_apost,44,42,История общественного служения Иисуса,ist_slu,43. Maqhtai Ihsou,bn-old
44,VII. Служение Иисуса,"“Люби<em>́</em>те врагов ваших и моли<em>́</em>тесь за гонящих вас”<br> (Мф.5:44, ex fontibus).",,kiss_jud,45,43,История общественного служения Иисуса,ist_slu,44. Иуда-предатель,bn-old
45,VII. Служение Иисуса,"“Более же всего [облекитесь] в любовь, которая есть совокупность совершенства”<br> (Кол.3:14).",,strannik,46,44,История общественного служения Иисуса,ist_slu,45. Прощание с Галилеей,bn-old
46,VII. Служение Иисуса,“Не можете служить Богу и маммоне”<br> (Мф.6:24).,,bethania,47,45,История общественного служения Иисуса,ist_slu,46. “Еще не долго быть Мне с вами...”[<sup>1</sup>](#prim1 Ин.7:33)<span id=1></span>.1  ,bn-old
47,VIII. Paqhmata tou kuriou,"“Всякий человек да будет скор на слышание, медлен на слова, медлен на гнев”<br> (Иак.1:19).",,gths_hek,48,46,История общественного служения Иисуса,ist_slu,47. Герой “Страстей”,bn-old
48,VIII. Paqhmata tou kuriou,"“Как пес возвращается на блевотину свою, так глупый повторяет глупость свою”<br> (Прит.26:11).",,dinin,49,47,История общественного служения Иисуса,ist_slu,48. Oi arciereiV,bn-old
49,VIII. Paqhmata tou kuriou,"“Лучше злой мужчина, нежели ласковая женщина, — женщина, которая стыдит до поношения”<br> (Сир.42:14).",,izgn_chr,50,48,История общественного служения Иисуса,ist_slu,49. Последняя ночь,bn-old
50,VIII. Paqhmata tou kuriou,"“Прежде, нежели исследуешь, не порицай; узнай прежде, и тогда упрекай”<br> (Сир.11:7).",,barntit,51,49,История общественного служения Иисуса,ist_slu,50. Jus Pilati  ,bn-old
51,VIII. Paqhmata tou kuriou,"“Лучше смерть, нежели горестная жизнь или постоянно продолжающаяся болезнь”<br> (Сир.30:17).",,crux02,52,50,История общественного служения Иисуса,ist_slu,51. QanatoV Ihsou,bn-old
52,VIII. Paqhmata tou kuriou,"“Где зависть и сварливость, там неустройство и все худое”<br> (Иак.3:16).",,qeber,53,51,История общественного служения Иисуса,ist_slu,52. Mnhmeion Ihsou,bn-old
53,VIII. Paqhmata tou kuriou,"“Не суди<em>́</em>те, да не судимы будете”<br> (Мф.7:1).",,greko_cr,54,52,История общественного служения Иисуса,ist_slu,53. Барнаша.2  ,bn-old
54,IX. AnastasiV Ihsou,"“Не мстите за себя, возлюбленные”<br> (Рим.12:19).",,altd_crx,55,53,Воскресение,voskres,54. Marturiai,bn-old
55,IX. AnastasiV Ihsou,"“Для меня жизнь — Христос, и смерть — приобретение”<br> (Флп.1:21).",,paulus1,56,54,Воскресение,voskres,55. Явление Христа Павлу,bn-old
56,IX. AnastasiV Ihsou,“Ибо и братья Его не веровали в Него”<br> (Ин.7:5).,,krug_chr,57,55,Воскресение,voskres,56. Другие явления Христа,bn-old
57,IX. AnastasiV Ihsou,"“Кто не любит, тот не познал Бога, потому что Бог есть любовь”<br> (1 Ин.4:8).",,plach_gl,58,56,Воскресение,voskres,57. Иерусалим или Галилея?,bn-old
58,IX. AnastasiV Ihsou,“Страдающий плотию перестает грешить”<br> (1 Петр.4:1).,,jos_har,59,57,Воскресение,voskres,54. CristoV hgerqh,bn-old
59,IX. AnastasiV Ihsou,"“Иго Мое благо, и бремя Мое легко”<br> (Мф.11:30).",,barntit,ad notam,58,Воскресение,voskres,59. Барнаша.3 ,bn-old
ad_notam,,"“Не вей при всяком ветре, и не ходи всякою стезею: таков — двоязычный грешник”<br> (Сир.5:11).",,poln_var,koran,59,Дополнение (Logia kyriaka),dopoln,Ad notam,bn-old
koran,Внебиблейские логии,"“Не спорь с человеком, дерзким на язык, и не подкладывай дров на огонь его”<br> (Сир.8:4).",,poln_var,agrapha,ad_notam,Дополнение (Logia kyriaka),dopoln,Коран,bn-old
agrapha,Внебиблейские логии,"“Не шути с невеждою, чтобы не подверглись бесчестию твои предкии”<br> (Сир.8:5).",,mon_cop,ev thoma,koran,Дополнение (Logia kyriaka),dopoln,Аграфа и фрагмент неизвестного Евангелия,bn-old
ev_thoma,Внебиблейские логии,"“Не радуйся смерти человека, хотя бы он был самый враждебный тебе: помни, что все мы умрем”<br> (Сир.8:8).",,poln_var,quartus,agrapha,Дополнение (Logia kyriaka),dopoln,Евангелие от Фомы,bn-old
quartus,Библейские логии,"“Не судись с судьею, потому что его будут судить по его почету”<br> (Сир.8:17).",,mon_tib,nagorn,ev_thoma,Дополнение (Logia kyriaka),dopoln,Логии Квартуса,bn-old
nagorn,Библейские логии,"“Не смотри по сторонам на улицах города, и не броди по пустым местам его”<br> (Сир.9:7).",,poln_var,parabol,quartus,Дополнение (Logia kyriaka),dopoln,Нагорная проповедь,bn-old
parabol,Библейские логии,"“Не завидуй  славе грешника; ибо не знаешь, какой будет конец его”<br> (Сир.9:14).",,poln_var,synopt,nagorn,Дополнение (Logia kyriaka),dopoln,Притчи,bn-old
synopt,Библейские логии,"“Живые знают, что умрут, а мертвые ничего не знают, и уже нет им воздаяния”<br> (Екк.9:5).",,poln_var,jud_chri,parabol,Дополнение (Logia kyriaka),dopoln,Некоторые комментарии к синоптическим логиям,bn-old
jud_chri,,"“Кто не согрешает в слове, тот человек совершенный”<br> (Иак.3:2).",,mwyses,paulism,synopt,Заключение,zaklu,Иудео-христианство,bn-old
paulism,,"“Я благодушествую в немощах, в обидах, в нуждах, в гонениях, в притеснениях за Христа: ибо, когда я немощен, тогда силен”<br> (2 Кор.12:10).",,paulus2,yaz chr1,jud_chri,Заключение,zaklu,Паулизм,bn-old
yaz_chr1,,"“Кто не против вас, тот за вас”<br> (Мк.9:40).",,vizan_cr,yaz_chr2,paulism,Заключение,zaklu,Языко-христианство (начало),bn-old
yaz_chr2,,"“Кто не со Мною, тот против Меня”<br> (Мф.12:30).",,mon_kons,yaz_chr3,yaz_chr1,Заключение,zaklu,Языко-христианство (продолжение),bn-old
yaz_chr3,,"“Все, взявшие меч, мечем погибнут”<br> (Мф.26:52).",,bust_kon,antisem,yaz_chr2,Заключение,zaklu,Языко-христианство (окончание),bn-old
antisem,,"“Тот Иудей, кто внутренно [таков...]: ему и похвала не от людей, но от Бога”<br> (Рим.2:29).",,,orthodox,yaz_chr3,Заключение,zaklu,Христианство и антисемитизм,bn-old
orthodox,,"“Бога никто никогда не видел: если мы любим друг друга, то Бог в нас пребывает, и любовь Его совершенна есть в нас”<br> (1 Ин.4:12).",,spas1,jesus,antisem,Заключение,zaklu,Вокруг православия,bn-old
jesus,,"“Имейте нрав несребролюбивый, довольствуясь тем, что<em>́</em> есть. Ибо Сам сказал: 'не оставлю тебя и не покину тебя'”<br> (Евр.13:5).",,spas2,pril 1,orthodox,Заключение,zaklu,Иисус,bn-old
pril_1,Приложение 1,"“Дух бодр, плоть же немощна”<br> (Мф.26:41).",,poln_var,pril 2,jesus,Приложения,prilozh,Еврейские и греческие фонемы,bn-old
pril_2,Приложение 2,,,,pril 21,pril_1,Приложения,prilozh,Краткая источниковедческая справка,bn-old
pril_21,Приложение 2 (начало),"“Все Писание богодухновенно и полезно для научения, для обличения, для исправления, для наставления в праведности”<br> (2 Тим.3:16).",,blagov_s,pril 22,pril_2,Приложения,prilozh,Краткая источниковедческая справка,bn-old
pril_22,Приложение 2 (продолжение),"“Кто сеет скупо, тот скупо и пожнет”<br> (2 Кор.9:6).",,rembr01,pril 23,pril_21,Приложения,prilozh,Краткая источниковедческая справка,bn-old
pril_23,Приложение 2 (окончание),"“А теперь пребывают сии три: вера, надежда, любовь; но любовь из них больше”<br> (1 Кор.13:13).",,rembr02,pril 3,pril_22,Приложения,prilozh,Краткая источниковедческая справка,bn-old
pril_3,Приложение 3,“Сам сатана принимает вид Ангела света”<br> (2 Кор.11:14).,,ik_bogom,pril 4,pril_23,Приложения,prilozh,Дата празднования христианской Пасхи,bn-old
pril_4,Приложение 4,“Приобретайте себе друзей богатством неправедным”<br> (Лк.16:9).,,,pril 5,pril_3,Приложения,prilozh,Жены Ирода Великого и их потомство,bn-old
pril_5,Приложение 5,"“Блаженнее давать, нежели принимать”<br> (Деян.20:35).",,poln_var,pril 6,pril_4,Приложения,prilozh,Библейские весы и деньги,bn-old
pril_6,Приложение 6,“Побеждай зло добром”<br>  (Рим.12:21).,,poln_var,pril 7,pril_5,Приложения,prilozh,Облачение священников в Храме,bn-old
pril_7,Приложение 7,“Князь мира сего осужден”<br>  (Ин.16:11).,,,,pril_6,Приложения,prilozh,Хронологическая таблица,bn-old
,,,,,,,,,,
vveden,,,,,,,,,Введение,page
po_tu_st,,,,,,,,,По ту сторону Библии,page
ist_do,,,,,,,,,История Иисуса до его общественного служения,page
christ,,,,,,,,,Христос,page
ist_slu,,## VII. Служение Иисуса,,,,,,,История общественного служения Иисуса,page
voskres,,## IX. Anastasis Iesoy (Воскресение Иисуса),,,,,,,Воскресение,page
dopoln,,,,,,,,,Дополнение (Logia kyriaka),page
zaklu,,,,,,,,,Заключение,page
prilozh,,,,,,,,,Приложения,page
,,,,,,,,,,
elohim,,"“Не злословь глухого, и пред слепым не клади ничего, чтобы преткнуться ему; бойся Бога твоего.”<br> (Лев.19:14).",,el_m_fin,,,Имя Бога,vveden,Элоhим,bn-old
index,,,,,,,,,Cын человеческий (Краткий вариант),page
index_en,,## Ruslan Khazarzar,,,,,,,The Son of Man,bn-old
yaz_chri,,,,,,,,,Языко-христианство,bn-old
jhvh,,"“Господь един, и имя Его — едино”<br> (Зах.14:9).",,jhvh_fin,,,Тетраграмматон,vveden,Тетраграмматон,bn-old
